Circuit Name,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
"SUBSTATION
K 1102",2150,2056,91,39,3
"SUBSTATION
K 1103",3092,2934,143,37,15
"SUBSTATION
K 1104",2145,1883,261,31,1
"SUBSTATION
X 1101",93,93,0,0,0
"SUBSTATION
X 1104",1618,1568,50,35,0
"SUBSTATION
X 1105",1509,1481,27,19,1
"SUBSTATION
X 1106",2005,1886,115,46,4
SUMMIT 1101,1040,951,83,3,6
SUMMIT 1102,288,211,77,1,0
SUNOL 1101,699,495,172,17,32
SWIFT 2102,4,3,1,0,0
SWIFT 2107,219,199,18,4,2
SWIFT 2109,48,46,2,0,0
SWIFT 2110,404,340,53,17,11
"SYCAMORE
CREEK 1111",595,530,57,21,8
"TAMARACK
1101",427,389,32,3,6
"TAMARACK
1102",135,108,21,2,6
"TAR FLAT
0401",339,330,9,21,0
"TAR FLAT
0402",479,415,64,24,0
"TASSAJARA
2103",3,3,0,0,0
"TASSAJARA
2104",133,113,20,5,0
"TASSAJARA
2106",54,46,7,1,1
"TASSAJARA
2107",149,149,0,5,0
"TASSAJARA
2108",624,607,17,19,0
"TASSAJARA
2112",1239,1141,98,32,0
"TASSAJARA
2113",445,430,14,8,1
TEJON 1102,597,481,102,26,14
TEJON 1103,15,4,10,0,1
"TIDE WATER
2106",102,85,16,10,1
"TIGER CREEK
0201",13,2,11,0,0
"TRINIDAD
1101",699,617,70,22,12
"TRINIDAD
1102",736,607,108,13,21
"TULUCAY
1101",60,24,27,2,9
TYLER 1103,1255,1102,152,93,1
TYLER 1104,403,322,53,32,28
TYLER 1105,1657,1369,233,115,55
UKIAH 1111,1210,874,330,32,6
UKIAH 1113,1180,1083,92,38,5
UKIAH 1114,1694,1353,278,53,63
UKIAH 1115,684,624,54,25,6
"UPPER LAKE
1101",1231,973,194,47,64
"VACA DIXON
1101",6,4,2,0,0
"VACA DIXON
1105",569,511,44,53,14
"VACAVILLE
1104",1537,1438,89,70,10
"VACAVILLE
1108",367,282,64,11,21
"VACAVILLE
1109",157,151,6,12,0
"VACAVILLE
1111",1089,1038,45,69,6
"VALLEJO
STATION C
0401",804,716,88,15,0
"VALLEY
VIEW 1103",144,134,10,4,0
"VALLEY
VIEW 1105",597,564,33,35,0
"VALLEY
VIEW 1106",3274,3186,88,165,0
VASCO 1102,400,290,87,24,23
VASONA 1102,24,23,1,0,0
VINA 1101,121,78,35,5,8
"VINEYARD
2105",11,11,0,2,0
"VINEYARD
2107",285,258,27,16,0
"VINEYARD
2108",1862,1795,64,76,3
"VINEYARD
2110",32,18,12,1,2
VOLTA 1101,1285,1079,175,38,31
VOLTA 1102,2562,2380,171,177,11
WALDO 0401,238,232,6,6,0
WALDO 0402,461,449,12,3,0
"WATERSHED
0402",6,0,6,0,0
WAYNE 0401,52,49,3,2,0
WEIMAR 1101,1617,1509,100,60,8
WEIMAR 1102,632,600,32,34,0
"WEST POINT
1101",1755,1691,61,82,3
"WEST POINT
1102",2812,2551,236,140,25
"WESTLEY
1103",34,4,26,0,4
"WHEATLAND
1105",197,165,30,7,2
"WHITMORE
1101",513,463,40,21,10
"WILDWOOD
1101",129,93,34,4,2
WILLITS 1102,1204,928,274,62,2
WILLITS 1103,2118,1833,262,88,23
WILLITS 1104,3037,2651,373,148,13
"WILLOW
CREEK 1101",750,656,76,26,18
"WILLOW
CREEK 1102",133,118,11,6,4
"WILLOW
CREEK 1103",1429,1189,229,54,11
"WILLOW
PASS 1101",8,0,8,0,0
"WILLOW
PASS 2107",5,1,4,0,0
"WILLOW
PASS 2108",2,2,0,0,0
"WINDSOR
1101",1884,1808,72,82,4
"WINDSOR
1102",1829,1527,289,69,13
"WINDSOR
1103",1429,1305,113,52,11
WISE 1101,954,775,175,45,4
WISE 1102,1702,1592,83,67,27
WISHON 1101,12,10,1,0,1
WOOD 0401,86,85,1,2,0
"WOODACRE
1101",1195,1061,124,36,10
"WOODACRE
1102",2948,2788,158,77,2
"WOODSIDE
1101",1601,1402,195,27,4
"WOODSIDE
1102",110,107,3,3,0
"WOODSIDE
1104",1542,1477,64,34,1
"WOODWARD
2108",139,111,23,9,5
"WYANDOTTE
1102",33,29,3,3,1
"WYANDOTTE
1103",1598,1464,125,118,9
"WYANDOTTE
1105",330,319,10,39,1
"WYANDOTTE
1106",167,136,12,14,19
"WYANDOTTE
1107",1913,1782,103,146,28
"WYANDOTTE
1109",2289,2045,210,228,34
"WYANDOTTE
1110",1638,1583,52,173,3
